payment_id,customer_id,staff_id,rental_id,amount,payment_date
31917,267,2,12066,7.98,2007-05-14 13:44:29.996577
31918,267,2,13713,0.00,2007-05-14 13:44:29.996577
31919,269,1,13025,3.98,2007-05-14 13:44:29.996577
31920,269,2,12610,0.00,2007-05-14 13:44:29.996577
31921,274,1,13486,0.99,2007-05-14 13:44:29.996577
31922,279,2,13538,4.99,2007-05-14 13:44:29.996577
31923,282,2,15430,0.99,2007-05-14 13:44:29.996577
31924,284,1,12064,5.98,2007-05-14 13:44:29.996577
31925,284,2,12959,0.00,2007-05-14 13:44:29.996577
31926,287,2,14204,0.99,2007-05-14 13:44:29.996577
31927,295,2,15735,0.99,2007-05-14 13:44:29.996577
31928,296,1,12009,2.99,2007-05-14 13:44:29.996577
31929,300,1,15695,4.99,2007-05-14 13:44:29.996577
31930,315,2,14426,2.99,2007-05-14 13:44:29.996577
31931,317,1,12574,0.99,2007-05-14 13:44:29.996577
31932,324,2,13965,2.99,2007-05-14 13:44:29.996577
31933,327,1,15297,2.99,2007-05-14 13:44:29.996577
31934,330,2,11709,2.99,2007-05-14 13:44:29.996577
31935,334,1,14219,0.99,2007-05-14 13:44:29.996577
31936,335,2,11541,0.99,2007-05-14 13:44:29.996577
31937,336,1,13022,0.99,2007-05-14 13:44:29.996577
31938,337,2,11847,0.99,2007-05-14 13:44:29.996577
31939,349,1,14915,2.99,2007-05-14 13:44:29.996577
31940,352,2,13578,2.99,2007-05-14 13:44:29.996577
31941,354,1,12759,7.98,2007-05-14 13:44:29.996577
31942,354,1,11782,0.00,2007-05-14 13:44:29.996577
31943,355,1,14760,0.99,2007-05-14 13:44:29.996577
31944,359,2,15655,4.99,2007-05-14 13:44:29.996577
31945,361,1,13298,3.98,2007-05-14 13:44:29.996577
31946,361,1,14769,0.00,2007-05-14 13:44:29.996577
31947,366,1,13421,4.99,2007-05-14 13:44:29.996577
31948,369,1,13898,0.99,2007-05-14 13:44:29.996577
31949,373,1,11739,0.99,2007-05-14 13:44:29.996577
31950,374,2,15966,2.99,2007-05-14 13:44:29.996577
